timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
6672000,6672000,0.99408257,0.008140976,-0.012214039,-0.10763104,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6676000,6676000,0.9940888,0.008307043,-0.01233984,-0.10754593,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6680000,6680000,0.99409074,0.00829756,-0.012562511,-0.10750352,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6684000,6684000,0.99410254,0.008164488,-0.012735944,-0.10738428,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6688000,6688000,0.994102,0.008069756,-0.0128502445,-0.10738275,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6692000,6692000,0.99409336,0.007920632,-0.012894021,-0.107468076,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6696000,6696000,0.99408954,0.007897663,-0.012866127,-0.10750888,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6700000,6700000,0.9940851,0.008139167,-0.012863969,-0.1075327,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6704000,6704000,0.9940963,0.008270923,-0.012660331,-0.10744279,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6708000,6708000,0.9941319,0.008265321,-0.0123166945,-0.107152596,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6716000,6716000,0.994165,0.008303387,-0.012048967,-0.106872715,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6720000,6720000,0.99416345,0.008080209,-0.012077809,-0.10690152,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6728000,6728000,0.9941312,0.008011258,-0.012272228,-0.10718346,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6736000,6736000,0.9941258,0.007738196,-0.012611528,-0.10721541,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6740000,6740000,0.9941232,0.0075484863,-0.012536982,-0.10726077,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6744000,6744000,0.99412984,0.0073695322,-0.012354961,-0.10723384,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6748000,6748000,0.99414843,0.0072838594,-0.012202641,-0.10708369,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6752000,6752000,0.994165,0.0071787965,-0.012053421,-0.106953956,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6760000,6760000,0.9941565,0.006671309,-0.011859182,-0.10708776,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
