timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
56300000,-0.2440137,0.001156849,1.5707964,0.0,0.7018005,-0.08646395,-0.085652016,0.7019001,0.0,0.0,-1.0,0,0
56356000,-0.118909694,0.07165968,1.5707964,0.0,0.7038992,-0.06727455,-0.01670385,0.70690954,0.0,0.0,-1.0,0,0
56404000,0.037460953,0.10445789,1.5707964,0.0,0.70671004,-0.023682563,0.050133795,0.7053274,0.0,0.0,-1.0,0,0
56460000,0.1598056,0.07649406,1.5707964,0.0,0.7064934,0.029446557,0.083350316,0.7021771,0.0,0.0,-1.0,0,0
56508000,0.26139408,0.027689233,1.5707964,0.0,0.7022847,0.08243923,0.101850875,0.6997331,0.0,0.0,-1.0,0,0
56556000,0.29067987,-0.036743283,1.5707964,0.0,0.69765216,0.11524517,0.08953912,0.7014148,0.0,0.0,-1.0,0,0
56604000,0.24208054,-0.066114634,1.5707964,0.0,0.69872785,0.10853273,0.062133115,0.7043717,0.0,0.0,-1.0,0,0
56660000,0.10007883,-0.029240618,1.5707964,0.0,0.7056291,0.045689475,0.025039857,0.7066633,0.0,0.0,-1.0,0,0
56700000,-0.0035161015,0.018209795,1.5707964,0.0,0.70706505,-0.007681113,0.0051949583,0.7070877,0.0,0.0,-1.0,0,0
56756000,-0.16687943,0.066065505,1.5707964,0.0,0.7023159,-0.08217239,-0.035628013,0.70620865,0.0,0.0,-1.0,0,0
56804000,-0.18581985,0.026670894,1.5707964,0.0,0.7031196,-0.074985564,-0.056208294,0.7048693,0.0,0.0,-1.0,0,0
56860000,-0.15634178,-0.063346274,1.5707964,0.0,0.7063425,-0.032867026,-0.077515356,0.7028452,0.0,0.0,-1.0,0,0
56900000,-0.08192562,-0.10949552,1.5707964,0.0,0.7070396,0.0097471215,-0.067574315,0.70387053,0.0,0.0,-1.0,0,0
56956000,0.058618274,-0.13074404,1.5707964,0.0,0.70393974,0.0668497,-0.025494777,0.70664704,0.0,0.0,-0.99999994,0,0
57004000,0.15182444,-0.08010482,1.5707964,0.0,0.7023576,0.08181571,0.025351288,0.70665216,0.0,0.0,-1.0,0,0
57060000,0.22124875,0.0034628897,1.5707964,0.0,0.7029186,0.076846845,0.07928052,0.7026483,0.0,0.0,-1.0,0,0
57108000,0.24500626,0.06389481,1.5707964,0.0,0.7042095,0.063945085,0.10877932,0.6986895,0.0,0.0,-1.0,0,0
57156000,0.22594102,0.09338213,1.5707964,0.0,0.7055542,0.046832334,0.11241874,0.6981132,0.0,0.0,-1.0,0,0
57204000,0.14043154,0.08261153,1.5707964,0.0,0.7068113,0.02043961,0.07869427,0.70271415,0.0,0.0,-1.0,0,0
57260000,0.0062942845,0.023636857,1.5707964,0.0,0.7070802,-0.006131447,0.01058186,0.7070277,0.0,0.0,-1.0,0,0
57308000,-0.09727956,-0.021520395,1.5707964,0.0,0.70659953,-0.026778512,-0.04197744,0.7058598,0.0,0.0,-0.99999994,0,0
57356000,-0.1641361,-0.056273244,1.5707964,0.0,0.70607865,-0.038116798,-0.07776884,0.70281726,0.0,0.0,-1.0,0,0
57404000,-0.13083293,-0.069887646,1.5707964,0.0,0.70677847,-0.021544069,-0.07084638,0.70354867,0.0,0.0,-1.0,0,0
57452000,-0.018426064,-0.06002011,1.5707964,0.0,0.7069539,0.014704656,-0.027727801,0.7065629,0.0,0.0,-1.0,0,0
57500000,0.09871463,-0.01767864,1.5707964,0.0,0.70590967,0.04112801,0.028642708,0.7065264,0.0,0.0,-1.0,0,0
57556000,0.17419975,0.029614802,1.5707964,0.0,0.70525986,0.051073976,0.07193466,0.70343834,0.0,0.0,-1.0,0,0
57604000,0.17190501,0.0055876984,1.5707964,0.0,0.7046633,0.0587343,0.06267081,0.70432407,0.0,0.0,-0.99999994,0,0
57660000,0.07908642,-0.04558199,1.5707964,0.0,0.7057335,0.0440484,0.011845052,0.7070075,0.0,0.0,-1.0,0,0
57708000,-0.019086974,-0.054692872,1.5707964,0.0,0.7069947,0.012587923,-0.0260792,0.7066257,0.0,0.0,-1.0,0,0
57756000,-0.10364263,-0.041976962,1.5707964,0.0,0.70677066,-0.02179865,-0.051438823,0.70523334,0.0,0.0,-1.0,0,0
57804000,-0.10995197,-0.018111937,1.5707964,0.0,0.7063614,-0.03245895,-0.045246497,0.7056577,0.0,0.0,-0.99999994,0,0
57860000,-0.056652896,0.0053450116,1.5707964,0.0,0.706767,-0.02191606,-0.018138086,0.70687413,0.0,0.0,-1.0,0,0
57908000,-0.00048454295,-0.009482764,1.5707964,0.0,0.7070996,0.0031813404,-0.0035239602,0.70709807,0.0,0.0,-0.99999994,0,0
57956000,0.017667796,-0.0052415165,1.5707964,0.0,0.7070604,0.008099488,0.0043933247,0.7070932,0.0,0.0,-0.99999994,0,0
58004000,0.037102107,-0.018923068,1.5707964,0.0,0.70682937,0.019805297,0.0064271716,0.70707756,0.0,0.0,-1.0,0,0
58052000,0.050259817,-0.05537896,1.5707964,0.0,0.7061206,0.037331585,-0.0018098864,0.7071045,0.0,0.0,-1.0,0,0
58108000,0.0048401435,-0.08119849,1.5707964,0.0,0.70645255,0.030409869,-0.026990194,0.7065916,0.0,0.0,-1.0,0,0
58156000,-0.038920537,-0.07378998,1.5707964,0.0,0.7069993,0.012327587,-0.039828096,0.70598423,0.0,0.0,-1.0,0,0
58204000,-0.045033623,-0.049847927,1.5707964,0.0,0.70710474,0.0017021106,-0.033533107,0.7063113,0.0,0.0,-1.0,0,0
58252000,-0.008758706,-0.044684958,1.5707964,0.0,0.7069927,0.012701167,-0.018892942,0.70685434,0.0,0.0,-1.0,0,0
58308000,0.04178196,-0.022373281,1.5707964,0.0,0.706743,0.022678416,0.0068618977,0.70707357,0.0,0.0,-0.99999994,0,0
58356000,0.064454496,-0.012795667,1.5707964,0.0,0.7065794,0.027305266,0.018262122,0.7068709,0.0,0.0,-1.0,0,0
58404000,0.054908678,-0.02964562,1.5707964,0.0,0.7064749,0.029885555,0.0089316005,0.70705044,0.0,0.0,-1.0,0,0
58460000,0.017276246,-0.02788691,1.5707964,0.0,0.7069265,0.01596623,-0.0037514179,0.7070968,0.0,0.0,-1.0,0,0
58500000,0.004336067,0.30466282,1.5707964,0.0,0.6991494,-0.10578294,0.1088135,0.69868433,0.0,0.0,-1.0,0,0
